roll,at1,at2,at3,at4,at5,at6,at7,at8,at9,at10
173-175,26FP,24EP,23EP,21EP,19EP,18EP,16DP,14DP,12DP,10CP
170-172,25FP,23EP,22EP,20EP,18EP,17EP,15DP,13DP,11DP,9CP
167-169,24FP,22EP,21EP,20EP,18EP,17EP,15DP,13DP,11DP,9CP
164-166,24FP,22EP,21EP,19EP,17EP,16EP,14DP,13DP,11DP,9CP
161-163,23FP,21EP,20EP,19EP,17EP,16EP,14CP,12CP,10CP,9BS
158-160,23EP,21EP,20EP,18EP,16DP,16DP,14CP,12CP,10CP,8BP
155-157,22EP,20DP,19DP,18DP,16DP,15DP,13CP,12CS,10CS,8BS
152-154,22EP,20DP,19DP,17DP,16DP,15DP,13CP,11CP,10BP,8AP
149-151,21EP,19DP,18DP,17DP,15DP,14DP,13CS,11BS,9BS,8AS
146-148,20EP,19DP,18DP,16DP,15DP,14CP,12BP,11BP,9BP,8AK
143-145,20EP,18DP,17DP,16DP,14CP,14CS,12BS,10BS,9BS,7AK
140-142,19DP,18DP,17DP,15CP,14CP,13CP,12BP,10BP,9AK,7AK
137-139,19DP,17CP,16CP,15CP,14CS,13CS,11BS,10BS,8AK,7AK
134-136,18DP,17CP,16CP,15CP,13CP,12BP,11BP,10AP,8AK,7
131-133,18DP,16CP,15CP,14CS,13BS,12BS,11AS,9AK,8AK,6
128-130,17DP,16CP,15CP,14CP,12BP,12BP,10AP,9AK,8,6
125-127,16DP,15CP,14CS,13BS,12BS,11BS,10AK,9AK,7,6
122-124,16CP,15CP,14BP,13BP,11BP,11BP,10AK,8AK,7,6
119-121,15CP,14BS,13BS,12BS,11BS,10AK,9AK,8,7,6
116-118,15CP,14BP,13BP,12BP,11AP,10AK,9AK,8,7,5
113-115,14CS,13BS,12BS,11BS,10AK,10AK,9,7,6,5
110-112,14CP,12BP,12BP,11AP,10AK,9AK,8,7,6,5
107-109,13CS,12BS,11BS,10AS,9AK,9,8,7,6,5
104-106,12BP,11BP,11AP,10AP,9,8,7,6,5,4
101-103,12BS,11AS,10AS,9AK,9,8,7,6,5,4
98-100,11BP,10AP,10AP,9AK,8,8,7,6,5,4
95-97,11BS,10AS,9AK,9,8,7,6,6,5,4
92-94,10BP,9AP,9AK,8,7,7,6,5,4,4
89-91,10AS,9AS,8,8,7,6,6,5,4,3
86-88,9AP,8,8,7,6,6,5,5,4,3
83-85,8AS,8,7,7,6,6,5,4,4,3
80-82,8,7,7,6,6,5,5,4,3,3
77-79,7,7,6,6,5,5,4,4,3,3
74-76,7,6,6,5,5,5,4,3,3,2
71-73,6,6,5,5,4,4,4,3,3,2
68-70,0,0,1,2,3,4,5,6,7,8
65-67,0,0,1,2,3,4,5,6,7,8
1-64,0,0,1,2,3,4,5,6,7,8
