roll,at1,at2,at3,at4,at5,at6,at7,at8,at9,at10
173-175,29FS,28FS,26FS,24ES,22ES,20ES,18ES,16DS,14DS,10CS
170-172,28FS,27FS,25FS,23ES,21ES,19ES,17ES,15DS,13DS,9CS
167-169,27FS,26FS,24FS,22ES,21ES,19ES,17ES,15DS,13DS,9CS
164-166,27FS,26FS,24FS,22ES,20ES,18ES,16ES,14DS,13DS,9BS
161-163,26FS,25FS,23FS,21ES,20ES,18ES,16DS,14CS,12CS,9BK
158-160,25ES,24ES,23ES,21ES,19DS,17DS,16DS,14CS,12CS,8BS
155-157,25ES,24ES,22ES,20DS,19DS,17DS,15DS,13CK,12CK,8AK
152-154,24ES,23ES,21ES,20DS,18DS,16DS,15DS,13CS,11BS,8AS
149-151,23ES,23ES,21ES,19DS,18DS,16DS,14CK,13BK,11BK,8AK
146-148,23ES,22ES,20ES,19DS,17DS,16CS,14CS,12BS,11BS,8AK
143-145,22ES,21ES,20DS,18DS,17CS,15CK,14CK,12BK,10BK,7AK
140-142,21DS,21DS,19DS,18CS,16CS,15CS,13CS,12BS,10AS,7
137-139,21DS,20DS,19DS,17CS,16CK,14CK,13BK,11AK,10AK,7
134-136,20DS,19DS,18DS,17CS,15CS,14BS,12BS,11AK,9AK,7
131-133,20DS,19DS,17DS,16CK,15CK,13BK,12BK,11AK,9AK,6
128-130,19DS,18DS,17DS,16CS,14BS,13BS,12BS,10AK,9,6
125-127,18DS,18DS,16CK,15BK,14BK,12BK,11AK,10AK,9,6
122-124,18CS,18CS,16CS,15BS,13BS,12AS,11AK,10,8,6
119-121,17CS,17CS,15CK,14BK,13BK,12AK,11AK,9,8,6
116-118,16CS,16CS,15CS,13BS,12AS,11AK,10,9,8,5
113-115,16CK,16CK,14CK,13BK,12AK,11AK,10,8,7,5
110-112,15CS,15CS,13CS,12AS,11AK,10,9,8,7,5
107-109,14CK,14CK,13BK,12AK,11AK,10,9,8,7,5
104-106,14BS,14BS,12BS,11AS,10AK,9,8,7,6,4
101-103,13BK,13BK,12BK,11AK,10,9,8,7,6,4
98-100,13BS,13BS,11BS,10AK,9,8,8,7,6,4
95-97,12BK,12BK,11AK,10,9,8,7,6,5,4
92-94,11BS,11BS,10AK,9,8,8,7,6,5,4
89-91,11AK,11AK,9,9,8,7,6,6,5,3
86-88,10AS,10AS,9,8,7,7,6,5,5,3
83-85,9AK,9AK,8,8,7,6,6,5,4,3
80-82,9,9,8,7,6,6,5,5,4,3
77-79,8,8,7,7,6,5,5,4,4,2
74-76,7,7,7,6,5,5,4,4,3,22
71-73,7,7,6,6,5,5,4,4,3,
68-70,0,0,0,0,0,0,0,0,0,0
65-67,0,0,0,0,0,0,0,0,0,0
1-64,0,0,0,0,0,0,0,0,0,0
