roll,at1,at2,at3,at4,at5,at6,at7,at8,at9,at10
173-175,23EP,22EP,21EP,20EP,18EP,17DP,17DP,16DP,14DP,11CP
170-172,22EP,21EP,20EP,19EP,17EP,16DP,16DP,15DP,13DP,10CP
167-169,22EP,21EP,20EP,19EP,17EP,16DP,16DP,15DP,13DP,10CP
164-166,21EP,20EP,19EP,18EP,16EP,15DP,15DP,15DP,13DP,10CP
161-163,21EP,20EP,19EP,18EP,16EP,15DP,15DP,14DP,12CP,10CP
158-160,20EP,19EP,18EP,17EP,16EP,15DP,15CP,14CP,12CP,9BP
155-157,20EP,19EP,18EP,17DP,15DP,14CP,14CP,14CP,12CP,9BK
152-154,19DP,18DP,18DP,17DP,15DP,14CP,14CP,13CP,12CP,9BP
149-151,19DP,18DP,17DP,16DP,15DP,14CP,14CP,13CP,11CK,9BK
146-148,18DP,18DP,17DP,16DP,14DP,13CP,13CP,13CP,11BP,9AP
143-145,18DP,17DP,16DP,15DP,14DP,13CP,13CP,12CK,11BK,8AK
140-142,17DP,17DP,16DP,15DP,14CP,13CP,13CP,12BP,10BP,8AP
137-139,17DP,16DP,15DP,15CP,13CP,12BK,12BK,12BK,10BK,8AK
134-136,16DP,16CP,15CP,14CP,13CP,12BP,12BP,11BP,10BP,8AK
131-133,16CP,15CP,15CP,14CP,12CK,12BK,12BK,11BK,10AK,7AK
128-130,16CP,15CP,14CP,13CP,12CP,11BP,11BP,11BP,9AP,7AK
125-127,15CP,14CP,14CP,13CK,12CK,11BK,11BK,10BK,9AK,7AK
122-124,15CP,14CP,13CP,13CP,11BP,11BP,11BP,10AP,9AK,7
119-121,14CP,14CP,13CK,12BK,11BK,10AK,10AK,10AK,8AK,7
116-118,14CP,13CP,12BP,12BP,11BP,10AP,10AP,9AP,8AK,6
113-115,13BK,13BK,12BK,11BK,10BK,10AK,10AK,9AK,8,6
110-112,13BP,12BP,12BP,11BP,10BP,9AP,9AP,9AK,8,6
107-109,12BK,12BK,11BK,11BK,10AK,9AK,9AK,8AK,7,6
104-106,12BP,11BP,11BP,10AP,9AP,9AK,9AK,8,7,5
101-103,11BK,11BK,10BK,10AK,9AK,8AK,8AK,8,7,5
98-100,11BP,10BP,10AP,9AP,8AK,8,8,7,6,5
95-97,10BK,10AK,10AK,9AK,8AK,8,8,7,6,5
92-94,10AP,10AP,9AP,9AK,8,7,7,7,6,5
89-91,10AK,9AK,9AK,8AK,7,7,7,7,6,4
86-88,9AP,9AP,8AK,8,7,7,7,6,5,4
83-85,9AK,8AK,8AK,7,7,6,6,6,5,4
80-82,8AP,8AP,7,7,6,6,6,6,5,4
77-79,9AK,7,7,7,6,6,6,5,5,3
74-76,7,7,7,6,6,5,5,5,4,3
71-73,7,6,6,6,5,5,5,5,4,3
68-70,6,6,6,5,5,5,5,4,4,3
65-67,6,6,5,5,4,4,4,4,3,3
1-64,0,0,0,0,0,0,0,0,0,0
