roll,at1,at2,at3,at4,at5,at6,at7,at8,at9,at10
173-175,29FS,27FS,26FS,24ES,21ES,20ES,17DS,15DS,13DS,10CS
170-172,28FS,26FS,25FS,23ES,20ES,19ES,16DS,14DS,12DS,9CS
167-169,27FS,25FS,24FS,22ES,20ES,19ES,16DS,14DS,12DS,9CS
164-166,27FS,25FS,24FS,22ES,19ES,18ES,15DS,14DS,12CS,9BS
161-163,26FS,24FS,23FS,21ES,19ES,18ES,15CS,13CS,11CS,9BP
158-160,25ES,24ES,23ES,21ES,18DS,17DS,15CS,13CS,11CS,8BS
155-157,25ES,23ES,22ES,20DS,18DS,17DS,14CS,13CP,11CP,8AP
152-154,24ES,23ES,22ES,20DS,17DS,17DS,14CS,12CS,11BS,8AS
149-151,24ES,22ES,21ES,19DS,17DS,16DS,14CP,12BP,10BP,8AK
146-148,23ES,21ES,21ES,19DS,17DS,16CS,13BS,12BS,10BS,8AK
143-145,22ES,21ES,20ES,18DS,16CS,15CP,13BP,11BP,10BP,7AK
140-142,22ES,20DS,19DS,18CS,16CS,15CS,13BS,11BS,9AK,7
137-139,21DS,20DS,19DS,17CS,15CP,14CP,12BP,11AP,9AK,7
134-136,21DS,19DS,18DS,17CS,15CS,14CS,12BS,10AK,9AK,7
131-133,20DS,19DS,18DS,16CP,14CP,14BP,11AP,10AK,9AK,7
128-130,19DS,18DS,17DS,16CS,14BS,13BS,11AS,10AK,8,6
125-127,19DS,17DS,17DP,15CP,13BP,13BP,11AK,9AK,8,6
122-124,18DS,17CS,16CS,15BS,13BS,12BS,10AK,9,8,6
119-121,18CS,16CP,16CP,14BP,13BP,12AP,10AK,9,8,6
116-118,17CS,16CS,15CS,14BS,12BS,12AK,10AK,9,7,6
113-115,16CP,15CP,15CP,13BP,12AP,11AK,9,8,7,5
110-112,16CS,15CS,14CS,13BS,11AK,11AK,9,8,7,5
107-109,15CP,14CP,13BP,12AP,11AK,10,9,8,6,5
104-106,14CS,13BS,13BS,12AS,10AK,10,8,7,6,5
101-103,14BP,13BP,12BP,11AP,10,9,8,7,6,4
98-100,13BS,12BS,12BS,11AK,9,9,8,7,6,4
95-97,13BP,12BP,11BP,10AK,9,9,7,6,5,4
92-94,12BS,11BS,11AS,10,9,8,7,6,5,4
89-91,11BP,11AP,10AK,9,8,8,6,6,5,4
86-88,11AS,10AS,10,9,8,7,6,5,5,3
83-85,10AP,9AK,9,8,7,7,6,5,4,3
80-82,10AS,9,9,8,7,6,5,5,4,3
77-79,9,8,8,7,6,6,5,4,4,3
74-76,8,8,7,7,6,6,5,4,3,3
71-73,8,7,7,6,5,5,4,4,3,2
68-70,7,7,6,6,5,5,4,3,3,2
65-67,0,0,0,0,0,0,0,0,0,0
1-64,0,0,0,0,0,0,0,0,0,0
