roll,at1,at2,at3,at4,at5,at6,at7,at8,at9,at10
173-175,35GI,34FI,31FI,30FI,28FI,26FI,26FI,26FI,24EI,22EI
170-172,34GI,33FI,30FI,29FI,27FI,25FI,25FI,25FI,23EI,21EI
167-169,33GI,32FI,29FI,28FI,26FI,25FI,25FI,25FI,23EI,21EI
164-166,33GI,32FI,29FI,28FI,26FI,24FI,24FI,24FI,22EI,20EI
161-163,32GI,31FI,28FI,27FI,25FI,24FI,24FI,24FI,22EI,20EI
158-160,31GI,30FI,28FI,27FI,25EI,23EI,23EI,23EI,21EI,20EI
155-157,31FI,30EI,27EI,26EI,24EI,23EI,23EI,23EI,21DI,19DI
152-154,30FI,29EI,27EI,26EI,24EI,22EI,22EI,22EI,20DI,19DI
149-151,29FI,29EI,26EI,25EI,23EI,22EI,22EI,22EI,20DI,18DI
146-148,29FI,28EI,25EI,25EI,23EI,21EI,21EI,21EI,20DI,18DI
143-145,28FI,27EI,25EI,24EI,22EI,21EI,21EI,21EI,19DI,18DI
140-142,28FI,27EI,24EI,24EI,22EI,20DI,20DI,20DI,19CI,17CI
137-139,27EI,26EI,24EI,23EI,21DI,20DI,20DI,20DI,18CI,17CI
134-136,26EI,26EI,23DI,22DI,21DI,19DI,19DI,19DI,18CI,16CI
131-133,26EI,25DI,23DI,22DI,20DI,19DI,19DI,19DI,17CI,16CI
128-130,25EI,24DI,22DI,21DI,20DI,18DI,18DI,18DI,17CI,16CI
125-127,24EI,24DI,22DI,21DI,19DI,18DI,18DI,18DI,17CI,15BI
122-124,24EI,23DI,21DI,20DI,19DI,18CI,18CI,18CI,16BI,15BI
119-121,23EI,22DI,20DI,20DI,18CI,17CI,17CI,17CI,16BI,14BI
116-118,23EI,22DI,20DI,19CI,18CI,17CI,17CI,17CI,15BI,14BI
113-115,22DI,21DI,19CI,19CI,17CI,16CI,16CI,16CI,15BI,14BI
110-112,21DI,21DI,19CI,18CI,17CI,16CI,16CI,16CI,14BI,13AI
107-109,21DI,20CI,18CI,18CI,16CI,15BI,15CI,15BI,14AI,13AI
104-106,20DI,19CI,18CI,17CI,16CI,15BI,15BI,15BI,14AI,12AI
101-103,19DI,19CI,17CI,17CI,15BI,14BI,14BI,14BI,13AI,12AI
98-100,19DI,18CI,17CI,16CI,15BI,14BI,14BI,14BI,13AI,12AI
95-97,18DI,18CI,16CI,15BI,14BI,13BI,13BI,13BI,12AI,11
92-94,17DI,17CI,15BI,15BI,14BI,13AI,13BI,13AI,12,11
89-91,17CI,16CI,15BI,14BI,13BI,12AI,12AI,12AI,11,10
86-88,16CI,16BI,14BI,14BI,13AI,12,12AI,12,11,10
83-85,16CI,15BI,14BI,13BI,12AI,11,11,11,11,10
80-82,15CI,15BI,13BI,13AI,12AI,11,11,11,10,9
77-79,14CI,14BI,13AI,12AI,11,11,11,11,10,9
74-76,14CI,13BI,12AI,12AI,11,10,10,10,9,8
71-73,13BI,13BI,12AI,11,10,10,10,10,9,8
68-70,12BI,12AI,11,11,10,9,9,9,8,8
65-67,12BI,11AI,10,10,9,9,9,9,8,7
1-64,0,0,0,0,0,0,0,0,0,0
