roll,at1,at2,at3,at4,at5,at6,at7,at8,at9,at10
173-175,10CP,9CP,9CP,8CP,7CP,7CP,6BP,5BP,5BP,4BP
170-172,9CP,8CP,8CP,7CP,6CP,6CP,5BP,4BP,4BP,3BP
167-169,9CP,8CP,8CP,7CP,6CP,6CP,5BP,4BP,4BP,3BP
164-166,9CP,8CP,8CP,7CP,6CP,6CP,5BP,4BP,4BP,3BP
161-163,9CP,8CP,8CP,7CP,6CP,6CP,5BP,4BP,4AP,3AS
158-160,8CP,8CP,8CP,7CP,6CP,6CP,5AP,4AP,4AP,3AP
155-157,8CP,7CP,7CP,7CP,6BP,6BP,5AP,4AP,4AS,3AS
152-154,8CP,7CP,7BP,6BP,5BP,5BP,5AP,4AP,4AP,3AP
149-151,8BP,7BP,7BP,6BP,5BP,5BP,5AS,4AS,4AS,3AS
146-148,8BP,7BP,7BP,6BP,5BP,5BP,4AP,4AP,4AP,3AK
143-145,7BP,7BP,7BP,6BP,5BP,5BS,4AS,3AS,3AS,3AK
140-142,7BP,6BP,6BP,6BP,5BP,5AP,4AP,3AP,3AK,3AK
137-139,7BP,6BP,6BP,6BP,5AS,5AS,4AS,3AS,3AK,3AK
134-136,7BP,6BP,6BP,5AP,5AP,5AP,4AP,3AP,3AK,2
131-133,7BP,6BP,6AP,5AS,4AS,4AS,4AS,3AK,3AK,2
128-130,6AP,6AP,6AP,5AP,4AP,4AP,4AP,3AK,3,2
125-127,6AP,6AP,6AS,5AS,4AS,4AS,4AK,3AK,3,2
122-124,6AP,5AP,5AP,5AP,4AP,4AP,3AK,3AK,3,2
119-121,6AP,5AS,5AS,5AS,4AS,4AK,3AK,3,3,2
116-118,6AP,5AP,5AP,4AP,4AP,4AK,3AK,3,3,2
113-115,5AS,5AS,5AS,4AS,4AK,4AK,3,2,2,2
110-112,5AP,5AP,5AP,4AP,3AK,3,3,2,2,2
107-109,5AS,4AS,4AS,4AS,3AK,3,3,2,2,2
104-106,5AP,4AP,4AP,4AK,3,3,3,2,2,2
101-103,5AS,4AS,4AS,4AK,3,3,3,2,2,2
98-100,4AP,4AP,4AP,3,3,3,2,2,2,1
95-97,4AS,4AS,4AK,3,3,3,2,2,2,1
92-94,4AP,4AP,4,3,3,3,2,2,2,1
89-91,4AS,3AK,3,3,2,2,2,2,2,1
86-88,4AP,3,3,3,2,2,2,2,2,1
83-85,3,3,3,3,2,2,2,1,1,1
80-82,3,3,3,2,2,2,2,1,1,1
77-79,3,3,3,2,2,2,2,1,1,1
74-76,3,2,2,2,2,2,1,1,1,1
71-73,3,2,2,2,2,2,1,1,1,1
68-70,2,2,2,2,1,1,1,1,1,1
1-67,2,2,2,2,1,1,1,1,1,1
