roll,at1,at2,at3,at4,at5,at6,at7,at8,at9,at10
173-175,22EP,21EP,20EP,18EP,17DP,16DP,15DP,14DP,12DP,10CP
170-172,21EP,20EP,19EP,17EP,16DP,15DP,14DP,13DP,11DP,9CP
167-169,21EP,20EP,19EP,17EP,16DP,15DP,14DP,13DP,11DP,9CP
164-166,20EP,19EP,18EP,16EP,15DP,14DP,13DP,13DP,11DP,9CP
161-163,20EP,19EP,18EP,16EP,15DP,14DP,13DP,12CP,10CP,9BP
158-160,19EP,18EP,17EP,15DP,15CP,14CP,13CP,12CP,10CP,8BP
155-157,19DP,18DP,17DP,15DP,14CP,13CP,12CP,12CP,10CS,8BS
152-154,18DP,17DP,16DP,15DP,14CP,13CP,12CP,11CP,10CP,8BP
149-151,18DP,17DP,16DP,14DP,13CP,13CP,12CP,11CS,9BS,8AS
146-148,17DP,16DP,15DP,14DP,13CP,12CP,11CP,11BP,9BP,7AP
143-145,17DP,16DP,15DP,13CP,13CP,12BS,11BS,10BS,9BS,7AS
140-142,16DP,15DP,15CP,13CP,12BP,12BP,11BP,10BP,9BP,7AK
137-139,16CP,15CP,14CP,13CP,12BS,11BS,10BS,10BS,8AS,7AK
134-136,15CP,14CP,14CP,12CP,12BP,11BP,10BP,9BP,8AK,7AK
131-133,15CP,14CP,13CP,12CS,11BS,10BS,10BS,9AS,8AK,6
128-130,14CP,13CP,13CP,11BP,11BP,10BP,9AP,9AP,7AK,6
125-127,14CP,13CS,12BS,11BS,10BS,10AS,9AS,8AK,7AK,6
122-124,13CP,12BP,12BP,11BP,10AP,9AP,9AP,8AK,7,6
119-121,13BS,12BS,11BS,10BS,10AS,9AS,8AK,8AK,7,5
116-118,12BP,12BP,11BP,10BP,9AP,9AK,8AK,8,6,5
113-115,12BS,11BS,11BS,9AS,9AS,8AK,8AK,7,6,5
110-112,11BP,11BP,10AP,9AP,8AK,8AK,7,7,6,5
107-109,11BS,10BS,10AS,9AS,8AK,8,7,7,6,5
104-106,10AP,10AP,9AP,8AK,8,7,7,6,5,4
101-103,10AS,9AS,9AS,8AK,7,7,6,6,5,4
98-100,9AP,9AP,8AK,7,7,7,6,6,5,4
95-97,9AS,8AS,8,7,7,6,6,5,4,4
92-94,8AP,8AK,7,7,6,6,5,5,4,3
89-91,8AS,7,7,6,6,5,5,5,4,3
86-88,7,7,6,6,5,5,5,4,4,3
83-85,7,6,6,5,5,5,4,4,3,3
80-82,6,6,6,5,5,4,4,4,3,3
77-79,6,5,5,5,4,4,4,3,3,2
74-76,5,5,5,4,4,4,3,3,3,2
71-73,0,0,0,0,0,0,0,0,0,0
68-70,0,0,0,0,0,0,0,0,0,0
65-67,0,0,0,0,0,0,0,0,0,0
1-64,0,0,0,0,0,0,0,0,0,0
