roll,at1,at2,at3,at4,at5,at6,at7,at8,at9,at10
173-175,24ES,23ES,21ES,20ES,18ES,17DS,15DS,13DS,11CS,9CS
170-172,23ES,22ES,20ES,19ES,17ES,16DS,14DS,12DS,10CS,8CS
167-169,22ES,21ES,20ES,19ES,17ES,16DS,14DS,12DS,10CS,8CS
164-166,22ES,21ES,19ES,18ES,16ES,15DS,13DS,12DS,10CS,8BS
161-163,21ES,20ES,19ES,18ES,16ES,15CS,13CS,11CS,9BS,8BP
158-160,21ES,20ES,18ES,17DS,15DS,15CS,13CS,11CS,9BS,7BS
155-157,20DS,19DS,18DS,17DS,15DS,14CS,12CS,11CP,9BP,7AP
152-154,20DS,19DS,17DS,16DS,15DS,14CS,12CS,10CS,9AS,7AS
149-151,19DS,18DS,17DS,16DS,14DS,13CS,12CP,10BP,8AP,7AK
146-148,19DS,18DS,16DS,15DS,14CS,13BS,11BS,10BS,8AS,7AK
143-145,18DS,17DS,16DS,15CS,13CP,13BP,11BP,10BP,8AK,6AK
140-142,17DS,17CS,15CS,14CS,13CS,12BS,11BS,9BS,8AK,6
137-139,17CS,16CS,15CS,14CS,13CP,12BP,10BP,9AP,7AK,6
134-136,16CS,16CS,14CS,14CS,12BS,11BS,10AS,9AK,7AK,6
131-133,16CS,15CS,14CP,13CP,12BP,11AP,10AP,8AK,7,6
128-130,15CS,15CS,13CS,13BS,11BS,11AS,9AK,8AK,7,5
125-127,15CS,14CP,13BP,12BP,11BP,10AP,9AK,8,6,5
122-124,14BS,14BS,12BS,12BS,10BS,10AK,9AK,7,6,5
119-121,14BP,13BP,12BP,11BP,10AP,9AK,8,7,6,5
116-118,13BS,12BS,11BS,11BS,10AK,9AK,8,7,6,5
113-115,12BP,12BP,11BP,10AP,9AK,9,8,7,5,4
110-112,12BS,11BS,10AS,10AS,9AK,8,7,6,5,4
107-109,11BP,11AP,10AP,9AK,8,8,7,6,5,4
104-106,11AS,10AS,9AS,9AK,8,8,7,6,5,4
101-103,10AP,10AP,9AP,8,8,7,6,5,4,4
98-100,10AS,9AS,8AK,8,7,7,6,5,4,3
95-97,9AP,9AP,8,8,7,6,6,5,4,3
92-94,9AS,8,7,7,6,6,5,4,4,3
89-91,8,8,7,7,6,6,5,4,3,3
86-88,8,7,7,6,6,5,5,4,3,3
83-85,7,7,6,6,5,5,4,4,3,2
80-82,6,6,6,5,5,4,4,3,3,2
77-79,6,6,5,5,4,4,3,3,2,2
74-76,0,0,0,0,0,0,0,0,0,0
71-73,0,0,0,0,0,0,0,0,0,0
68-70,0,0,0,0,0,0,0,0,0,0
65-67,0,0,0,0,0,0,0,0,0,0
