roll,at1,at2,at3,at4,at5,at6,at7,at8,at9,at10
173-175,18DS,17DS,16DS,15DS,14DS,13CS,11CS,10CS,8BS,7BS
170-172,17DS,17DS,15DS,14DS,13DS,12CS,11CS,9CS,8BS,6BS
167-169,17DS,16DS,15DS,14DS,13DS,12CS,11CS,9CS,8BS,6BS
164-166,17DS,16DS,14DS,14DS,12DS,11CS,10CS,9CS,8BS,6AS
161-163,16DS,15DS,14DS,14DS,12DS,11BS,10BS,8BS,7AS,6AP
158-160,16DS,15DS,14DS,13CS,11CS,11BS,10BS,8BS,7AS,5AS
155-157,15CS,14CS,14CS,13CS,11CS,11BS,9BS,8BP,7AP,5ZP
152-154,15CS,14CS,13CS,12CS,11CS,11BS,9BS,8BS,7ZS,5ZS
149-151,14CS,14CS,13CS,12CS,11CS,10BS,9BP,8AP,6ZP,5ZK
146-148,14CS,14CS,12CS,11CS,11BS,10AS,8AS,8AS,6ZS,5ZK
143-145,14CS,13CS,12CS,11BS,10BP,10AP,8AP,8AP,6ZK,5ZK
140-142,13CS,13BS,11BS,11BS,10BS,9AS,8AS,7AS,6ZK,5
137-139,13BS,12BS,11BS,11BS,10BP,9AP,8AP,7ZP,5ZK,5
134-136,12BS,12BS,11BS,11BS,9AS,8AS,8ZS,7ZK,5ZK,5
131-133,12BS,11BS,11BP,10BP,9AP,8ZP,8ZP,6ZK,5,5
128-130,11BS,11BS,10BS,10AS,8AS,8ZS,7ZK,6ZK,5,4
125-127,11BS,11BP,10AP,9AP,8AP,8ZP,7ZK,6,5,4
122-124,11AS,11AS,9AS,9AS,8AS,8ZK,7ZK,5,5,4
119-121,11AP,10AP,9AP,8AP,8ZP,7ZK,6,5,5,4
116-118,10AS,9AS,8AS,8AS,8ZK,7ZK,6,5,5,4
113-115,9AP,9AP,8AP,8ZP,7ZK,7,6,5,4,3
110-112,9AS,8AS,8ZS,8ZS,7ZK,6,5,5,4,3
107-109,8AP,8ZP,8ZP,7ZK,6,6,5,5,4,3
104-106,8ZS,8ZS,7ZS,7ZK,6,6,5,5,4,3
101-103,8ZP,8ZP,7ZP,6,6,5,5,4,3,3
98-100,8ZS,7ZS,6ZK,6,5,5,5,4,3,2
95-97,7ZP,7ZP,6,6,5,5,5,4,3,2
92-94,7ZS,6,5,5,5,5,4,3,3,2
89-91,6,6,5,5,5,5,4,3,2,2
86-88,6,5,5,5,5,4,4,3,2,2
83-85,5,5,5,5,4,4,3,3,2,2
80-82,5,5,5,4,4,3,3,2,2,2
77-79,5,5,4,4,3,3,2,2,2,2
74-76,0,0,0,0,0,0,0,0,0,0
71-73,0,0,0,0,0,0,0,0,0,0
68-70,0,0,0,0,0,0,0,0,0,0
65-67,0,0,0,0,0,0,0,0,0,0
