roll,at1,at2,at3,at4,at5,at6,at7,at8,at9,at10
173-175,21EP,20EP,19EP,18EP,17DP,16DP,16DP,15DP,13DP,11CP
170-172,20EP,19EP,18EP,17EP,16DP,15DP,15DP,14DP,12DP,10CP
167-169,20EP,19EP,18EP,17EP,16DP,15DP,15DP,14DP,12DP,10CP
164-166,19EP,18EP,17EP,16EP,15DP,14DP,14DP,14DP,12DP,10CP
161-163,19EP,18EP,17EP,16EP,15DP,14DP,14DP,13DP,11CP,10CP
158-160,18EP,17EP,16EP,16EP,15DP,14CP,14CP,13CP,11CP,9BP
155-157,18EP,17DP,16DP,15DP,14CP,13CP,13CP,13CP,11CP,9BP
152-154,17DP,17DP,16DP,15DP,14CP,13CP,13CP,12CP,11CP,9BP
149-151,17DP,16DP,15DP,14DP,14CP,13CP,13CP,12CP,10CP,9BP
146-148,16DP,16DP,15DP,14DP,13CP,12CP,12CP,12CP,10BP,8AP
143-145,16DP,15DP,14DP,14DP,13CP,12CP,12CP,11BP,10BP,8AP
140-142,16DP,15DP,14DP,13CP,12CP,12BP,12BP,11BP,9BP,8AP
137-139,15DP,14CP,14CP,13CP,12BP,11BP,11BP,11BP,9BP,8AP
134-136,15CP,14CP,13CP,12CP,12BP,11BP,11BP,10BP,9BP,7AP
131-133,14CP,14CP,13CP,12CP,11BP,11BP,11BP,10BP,9AP,7AP
128-130,14CP,13CP,12CP,12CP,11BP,10BP,10BP,10BP,8AP,7AP
125-127,13CP,13CP,12CP,11BP,11BP,10BP,10BP,9AP,8AP,7AP
122-124,13CP,12CP,12BP,11BP,10BP,10AP,10AP,9AP,8AP,6
119-121,12CP,12BP,11BP,11BP,10AP,9AP,9AP,9AP,7AP,6
116-118,12BP,11BP,11BP,10BP,10AP,9AP,9AP,8AP,7,6
113-115,12BP,11BP,10BP,10BP,9AP,9AP,9AP,8AP,7,6
110-112,11BP,11BP,10BP,9BP,9AP,8AP,8AP,8AP,7,6
107-109,11BP,10BP,10BP,9AP,8AP,8AP,8AP,7,6,5
104-106,10BP,10BP,9AP,9AP,8AP,8AP,8AP,7,6,5
101-103,10BP,9AP,9AP,8AP,8AP,7,7,7,6,5
98-100,9AP,9AP,8AP,8AP,7,7,7,6,6,5
95-97,9AP,8AP,8AP,7AP,7,7,7,6,5,4
92-94,8AP,8AP,8AP,7,7,6,6,6,5,4
89-91,8AP,8AP,7,7,6,6,6,6,5,4
86-88,7AP,7AP,7,6,6,6,6,5,4,4
83-85,7AP,7,6,6,6,5,5,5,4,3
80-82,7,6,6,6,5,5,5,5,4,3
77-79,6,6,5,5,5,5,5,4,4,3
74-76,6,5,5,5,4,4,4,4,3,3
71-73,5,5,5,4,4,4,4,4,3,2
68-70,5,5,4,4,4,4,4,3,3,2
1-67,0,0,0,0,0,0,0,0,0,0
