roll,at1,at2,at3,at4,at5,at6,at7,at8,at9,at10
173-175,16DP,15DP,14DP,14DP,13CP,12CP,12CP,11CP,10CP,8BP
170-172,15DP,14DP,14DP,13DP,12CP,11CP,11CP,11CP,9CP,8BP
167-169,15DP,14DP,14DP,13DP,12CP,11CP,11CP,11CP,9CP,8BP
164-166,14DP,14DP,13DP,12DP,11CP,11CP,11CP,11CP,9CP,8BP
161-163,14DP,14DP,13DP,12DP,11CP,11CP,11CP,10CP,8BP,8BP
158-160,14DP,13DP,12DP,12DP,11CP,11BP,11BP,10BP,8BP,7AP
155-157,14DP,13CP,12CP,11CP,11BP,10BP,10BP,10BP,8BP,7AP
152-154,13CP,13CP,12CP,11CP,11BP,10BP,10BP,9BP,8BP,7AP
149-151,13CP,12CP,11CP,11CP,11BP,10BP,10BP,9BP,8BP,7AP
146-148,12CP,12CP,11CP,11CP,10BP,9BP,9BP,9BP,8AP,6ZP
143-145,12CP,11CP,11CP,11CP,10BP,9BP,9BP,8AP,8AP,6ZP
140-142,12CP,11CP,11CP,10BP,9BP,9AP,9AP,8AP,7AP,6ZP
137-139,11CP,11BP,11BP,10BP,9AP,8AP,8AP,8AP,7AP,6ZP
134-136,11BP,11BP,10BP,9BP,9AP,8AP,8AP,8AP,7AP,5ZP
131-133,11BP,11BP,10BP,9BP,8AP,8AP,8AP,8AP,7ZP,5ZP
128-130,11BP,10BP,9BP,9BP,8AP,8AP,8AP,8AP,6ZP,5ZP
125-127,10BP,10BP,9BP,8AP,8AP,8AP,8AP,7ZP,6ZP,5ZP
122-124,10BP,9BP,9AP,8AP,8AP,8ZP,8ZP,7ZP,6ZP,5
119-121,9BP,9AP,8AP,8AP,8ZP,7ZP,7ZP,7ZP,5ZP,5
116-118,9AP,8AP,8AP,8AP,8ZP,7ZP,7ZP,6ZP,5,5
113-115,9AP,8AP,8AP,8AP,7ZP,7ZP,7ZP,6ZP,5,5
110-112,8AP,8AP,8AP,7AP,7ZP,6ZP,6ZP,6ZP,5,5
107-109,8AP,8AP,8AP,7ZP,6ZP,6ZP,6ZP,5,5,4
104-106,8AP,8AP,7ZP,7ZP,6ZP,6ZP,6ZP,5,5,4
101-103,8AP,7ZP,7ZP,6ZP,6ZP,5,5,5,5,4
98-100,7ZP,7ZP,6ZP,6ZP,5,5,5,5,5,4
95-97,7ZP,6ZP,6ZP,5ZP,5,5,5,5,4,3
92-94,6ZP,6ZP,6ZP,5,5,5,5,5,4,3
89-91,6ZP,6ZP,5,5,5,5,5,5,4,3
86-88,5ZP,5ZP,5,5,5,5,5,4,3,3
83-85,5ZP,5,5,5,5,4,4,4,3,2
80-82,5,5,5,5,4,4,4,4,3,2
77-79,5,5,4,4,4,4,4,3,3,2
74-76,5,4,4,4,3,3,3,3,2,2
71-73,4,4,4,3,3,3,3,3,2,2
68-70,4,4,3,3,3,3,3,2,2,2
1-67,0,0,0,0,0,0,0,0,0,0
