roll,at1,at2,at3,at4,at5,at6,at7,at8,at9,at10
173-175,24EP,23EP,21EP,20EP,18EP,18EP,16DP,15DP,13DP,11CP
170-172,23EP,22EP,20EP,19EP,17EP,17EP,15DP,14DP,12DP,10CP
167-169,22EP,21EP,20EP,19EP,17EP,17EP,15DP,14DP,12DP,10CP
164-166,22EP,21EP,19EP,18EP,16EP,16EP,14DP,14DP,12DP,10CP
161-163,21EP,20EP,19EP,18EP,16EP,16EP,14DP,13CP,11CP,10BP
158-160,21EP,20EP,18EP,17DP,16DP,16DP,14CP,13CP,11CP,9BP
155-157,20DP,19DP,18DP,17DP,15DP,15DP,13CP,13CP,11CP,9BP
152-154,20DP,19DP,17DP,16DP,15DP,15DP,13CP,12CP,10CP,9BP
149-151,19DP,18DP,17DP,16DP,14DP,14DP,13CP,12CP,10BP,9AP
146-148,19DP,18DP,16DP,16DP,14DP,14CP,12CP,12BP,10BP,8AP
143-145,18DP,17DP,16DP,15CP,14CP,14CP,12BP,11BP,10BP,8AP
140-142,18DP,17DP,15CP,15CP,13CP,13CP,12BP,11BP,9BP,8AK
137-139,17CP,16CP,15CP,14CP,13CP,13CP,11BP,11BP,9AP,8AK
134-136,17CP,16CP,14CP,14CP,12CP,12CP,11BP,10BP,9AK,7AK
131-133,16CP,15CP,14CP,13CP,12BP,12BP,11BP,10AP,8AK,7
128-130,16CP,15CP,14CP,13BP,12BP,12BP,10AP,10AP,8AK,7
125-127,15CP,14CP,13CP,12BP,11BP,11BP,10AP,9AK,8AK,7
122-124,15CP,14BP,13BP,12BP,11BP,11BP,10AP,9AK,8,6
119-121,14BP,13BP,12BP,12BP,10BP,10AP,9AK,9AK,7,6
116-118,13BP,13BP,12BP,11BP,10AP,10AK,9AK,8,7,6
113-115,13BP,12BP,11BP,11AP,10AP,10AK,8AK,8,7,6
110-112,12BP,12BP,11BP,10AP,9AK,9AK,8,8,6,5
107-109,12BP,11BP,10AP,10AP,9AK,9,8,7,6,5
104-106,11BP,11AP,10AP,9AK,8,8,7,7,6,5
101-103,11AP,10AP,9AP,9AK,8,8,7,7,6,5
98-100,10AP,10AP,9AP,8,8,8,7,6,5,4
95-97,10AP,9AP,8AK,8,7,7,6,6,5,4
92-94,9AP,9AP,8,8,7,7,6,6,5,4
89-91,9AP,8,8,7,6,6,6,5,4,4
86-88,8AP,8,7,7,6,6,5,5,4,3
83-85,8,7,7,6,6,6,5,5,4,3
80-82,7,7,6,6,5,5,5,4,4,3
77-79,7,6,6,5,5,5,4,4,3,3
74-76,6,6,5,5,4,4,4,4,3,2
71-73,6,5,5,5,4,4,4,3,3,2
68-70,0,0,0,0,0,0,0,0,0,0
65-67,0,0,0,0,0,0,0,0,0,0
