roll,at1,at2,at3,at4,at5,at6,at7,at8,at9,at10
173-175,18DP,17DP,16DP,15DP,14DP,14DP,12CP,11CP,10CP,8BP
170-172,17DP,17DP,15DP,14DP,13DP,13DP,11CP,11CP,9CP,8BP
167-169,17DP,16DP,15DP,14DP,13DP,13DP,11CP,11CP,9CP,8BP
164-166,17DP,16DP,14DP,14DP,12DP,12DP,11CP,11CP,9CP,8BP
161-163,16DP,15DP,14DP,14DP,12DP,12DP,11CP,10BP,8BP,8AP
158-160,16DP,15DP,14DP,13CP,12CP,12CP,11BP,10BP,8BP,7AP
155-157,15CP,14CP,14CP,13CP,11CP,11CP,10BP,10BP,8BP,7AP
152-154,15CP,14CP,13CP,12CP,11CP,11CP,10BP,9BP,8BP,7AP
149-151,14CP,14CP,13CP,12CP,11CP,11CP,10BP,9BP,8AP,7ZP
146-148,14CP,14CP,12CP,12CP,11CP,11BP,9BP,9AP,8AP,6ZP
143-145,14CP,13CP,12CP,11BP,11BP,11BP,9AP,8AP,8AP,6ZP
140-142,14CP,13CP,11BP,11BP,10BP,10BP,9AP,8AP,7AP,6ZK
137-139,13BP,12BP,11BP,11BP,10BP,10BP,8AP,8AP,7ZP,6ZK
134-136,13BP,12BP,11BP,11BP,9BP,9BP,8AP,8AP,7ZK,5ZK
131-133,12BP,11BP,11BP,10BP,9AP,9AP,8AP,8ZP,6ZK,5
128-130,12BP,11BP,11BP,10AP,9AP,9AP,8ZP,8ZP,6ZK,5
125-127,11BP,11BP,10BP,9AP,8AP,8AP,8ZP,7ZK,6ZK,5
122-124,11BP,11AP,10AP,9AP,8AP,8AP,8ZP,7ZK,6,5
119-121,11AP,10AP,9AP,9AP,8AP,8ZP,7ZK,7ZK,5,5
116-118,10AP,10AP,9AP,8AP,8ZP,8ZK,7ZK,6,5,5
113-115,10AP,9AP,8AP,8ZP,8ZP,8ZK,6ZK,6,5,5
110-112,9AP,9AP,8AP,8ZP,7ZK,7ZK,6,6,5,4
107-109,9AP,8AP,8ZP,8ZP,7ZK,7,6,5,5,4
104-106,8AP,8ZP,8ZP,7ZK,6,6,5,5,5,4
101-103,8ZP,8ZP,7ZP,7ZK,6,6,5,5,5,4
98-100,8ZP,8ZP,7ZP,6,6,6,5,5,4,3
95-97,8ZP,7ZP,6ZK,6,5,5,5,5,4,3
92-94,7ZP,7ZP,6,6,5,5,5,5,4,3
89-91,7ZP,6,6,5,5,5,5,4,3,3
86-88,6ZP,6,5,5,5,5,4,4,3,2
83-85,6,5,5,5,5,5,4,4,3,2
80-82,5,5,5,5,4,4,4,3,3,2
77-79,5,5,5,4,4,4,3,3,2,2
74-76,5,5,4,4,3,3,3,3,2,2
71-73,5,4,4,4,3,3,3,2,2,2
68-70,0,0,0,0,0,0,0,0,0,0
65-67,0,0,0,0,0,0,0,0,0,0
