roll,at1,at2,at3,at4,at5,at6,at7,at8,at9,at10
173-175,42GK,41GK,38FK,36FK,32FK,29FK,29FK,27FK,23EK,20EK
170-172,41GK,39GK,36FK,35FK,30FK,27FK,27FK,26FK,21EK,18EK
167-169,39GK,38GK,35FK,33FK,30FK,27FK,27FK,26FK,21EK,18EK
164-166,39GK,38GK,35FK,33FK,29FK,26FK,26FK,24FK,21EK,18DK
161-163,38GK,36GK,33FK,32FK,29FK,26FK,26FK,24FK,20DK,17DK
158-160,36FK,36FK,33FK,32FK,27EK,24EK,24EK,24EK,20DK,17DK
155-157,36FK,35FK,32EK,30EK,27EK,24EK,24EK,23EK,20DP,17DP
152-154,35FK,33FK,32EK,30EK,26EK,24EK,24EK,23EK,18DK,17CK
149-151,35FK,33FK,30EK,29EK,26EK,23EK,23EK,21EK,18CP,15CP
146-148,33FK,32FK,30EK,29EK,24EK,23DK,23DK,21DK,18CK,15CK
143-145,32FK,32FK,29EK,27EK,24DK,21DP,21DP,21DP,17CP,15CP
140-142,32EK,30EK,27EK,27DK,23DK,21DK,21DK,20DK,17CK,14BK
137-139,30EK,29EK,27DK,26DK,23DP,21DP,21DP,20DP,17CP,14BK
134-136,30EK,29EK,26DK,26DK,23DK,20DK,20CK,18CK,15BK,14BK
131-133,29EK,27EK,26DK,24DP,21DP,20CP,20CP,18CP,15BK,14BK
128-130,27EK,27EK,24DK,24DK,21CK,18CK,18CK,18CK,15BK,12
125-127,27EK,26EK,24DP,23CP,20CP,18CP,18CP,17CP,14BK,12
122-124,26DK,24DK,23CK,23CK,20CK,17CK,17CK,17BK,14BK,12
119-121,24DK,24DP,23CP,21CP,18CP,17BP,17BK,15BK,14,11
116-118,24DK,23DK,21CK,21CK,18CK,17BK,17BK,15BK,12,11
113-115,23DP,23DP,21CP,20CP,17BP,15BK,15BK,15BK,12,11
110-112,23DK,21DK,20CK,18CK,17BK,15BK,15BK,14,12,11
107-109,21DP,21DP,18CP,18BP,15BK,14,14,14,11,9
104-106,20CK,20CK,18BK,17BK,15BK,14,14,12,11,9
101-103,20CP,18CP,17BP,17BP,14,14,14,12,11,9
98-100,18CK,18CK,17BK,15BK,14,12,12,12,9,8
95-97,18CP,17CP,15BP,15BK,14,12,12,11,9,8
92-94,17CK,17BK,15BK,14,12,11,11,11,9,8
89-91,15BP,15BP,14,14,12,11,11,9,8,8
86-88,15BK,14BK,14,12,11,9,9,9,8,6
83-85,14BP,14,12,12,11,9,9,9,8,6
80-82,14,12,12,11,9,9,9,8,6,6
77-79,12,12,11,11,9,8,8,8,6,5
74-76,11,11,9,9,8,8,8,8,6,5
71-73,11,9,9,9,8,6,6,6,5,5
68-70,0,0,0,0,0,0,0,0,0,0
65-67,0,0,0,0,0,0,0,0,0,0
