roll,at1,at2,at3,at4,at5,at6,at7,at8,at9,at10
173-175,28FK,27FK,25EK,24EK,21EK,19EK,19EK,18EK,15DK,13DK
170-172,27FK,26FK,24EK,23EK,20EK,18EK,18EK,17EK,14DK,12DK
167-169,26FK,25FK,23EK,22EK,20EK,18EK,18EK,17EK,14DK,12DK
164-166,26FK,25FK,23EK,22EK,19EK,17EK,17EK,16EK,14DK,12CK
161-163,25FK,24FK,22EK,21EK,19EK,17EK,17EK,16EK,13CK,11CK
158-160,24EK,24EK,22EK,21EK,18DK,16DK,16DK,16DK,13CK,11CK
155-157,24EK,23EK,21DK,20DK,18DK,16DK,16DK,15DK,13CP,11CP
152-154,23EK,22EK,21DK,20DK,17DK,16DK,16DK,15DK,12CK,11BK
149-151,23EK,22EK,20DK,19DK,17DK,15DK,15DK,14DK,12BP,10BP
146-148,22EK,21EK,20DK,19DK,16DK,15CK,15CK,14CK,12BK,10BK
143-145,21EK,21EK,19DK,18DK,16CK,14CP,14CP,14CP,11BP,10BP
140-142,21DK,20DK,18DK,18CK,15CK,14CK,14CK,13CK,11BK,9AK
137-139,20DK,19DK,18CK,17CK,15CP,14CP,14CP,13CP,11BP,9AK
134-136,20DK,19DK,17CK,17CK,15CK,13CK,13BK,12BK,10AK,9AK
131-133,19DK,18DK,17CK,16CP,14CP,13BP,13BP,12BP,10AK,9AK
128-130,18DK,18DK,16CK,16CK,14BK,12BK,12BK,12BK,10AK,8
125-127,18DK,17DK,16CP,15BP,13BP,12BP,12BP,11BP,9AK,8
122-124,17CK,16CK,15BK,15BK,13BK,11BK,11BK,11AK,9AK,8
119-121,16CK,16CP,15BP,14BP,12BP,11AP,11AK,10AK,9,7
116-118,16CK,15CK,14BK,14BK,12BK,11AK,11AK,10AK,8,7
113-115,15CP,15CP,14BP,13BP,11AP,10AK,10AK,10AK,8,7
110-112,15CK,14CK,13BK,12BK,11AK,10AK,10AK,9,8,7
107-109,14CP,14CP,12BP,12AP,10AK,9,9,9,7,6
104-106,13BK,13BK,12AK,11AK,10AK,9,9,8,7,6
101-103,13BP,12BP,11AP,11AP,9,9,9,8,7,6
98-100,12BK,12BK,11AK,10AK,9,8,8,8,6,5
95-97,12BP,11BP,10AP,10AK,9,8,8,7,6,5
92-94,11BK,11AK,10AK,9,8,7,7,7,6,5
89-91,10AP,10AP,9,9,8,7,7,6,5,5
86-88,10AK,9AK,9,8,7,6,6,6,5,4
83-85,9AP,9,8,8,7,6,6,6,5,4
80-82,9,8,8,7,6,6,6,5,4,4
77-79,8,8,7,7,6,5,5,5,4,3
74-76,7,7,6,6,5,5,5,5,4,3
71-73,7,6,6,6,5,4,4,4,3,3
68-70,0,0,0,0,0,0,0,0,0,0
1-67,0,0,0,0,0,0,0,0,0,0
